frame,x,y,score
1786,572.0,592.0,0.3092
1787,570.0,592.0,0.2331
1788,570.0,590.0,0.2398
1789,568.0,590.0,0.282
1790,566.0,588.0,0.3748
1791,564.0,588.0,0.3813
1792,562.0,588.0,0.4592
1793,560.0,586.0,0.3991
1794,560.0,584.0,0.4131
1795,556.0,584.0,0.4404
1796,554.0,586.0,0.4114
1797,552.0,584.0,0.3797
1798,550.0,582.0,0.4357
1799,550.0,580.0,0.4408
1800,548.0,580.0,0.4599
1801,546.0,580.0,0.4414
1802,544.0,578.0,0.3018
1803,540.0,578.0,0.2548
1804,540.0,576.0,0.4037
1805,538.0,574.0,0.4893
1806,536.0,574.0,0.4637
1807,534.0,574.0,0.467
1808,534.0,572.0,0.4502
1809,532.0,572.0,0.4299
1810,528.0,572.0,0.4364
1811,526.0,570.0,0.4468
1812,524.0,570.0,0.4699
1813,522.0,568.0,0.4926
1814,520.0,568.0,0.4665
1815,520.0,566.0,0.4723
1816,516.0,566.0,0.4864
1817,516.0,564.0,0.4871
1818,514.0,564.0,0.4647
1819,512.0,564.0,0.4035
1820,508.0,564.0,0.2872
1821,506.0,562.0,0.4259
1822,504.0,560.0,0.4407
1823,502.0,558.0,0.4571
1824,500.0,558.0,0.4483
1825,498.0,558.0,0.3761
1826,494.0,556.0,0.4234
1827,494.0,556.0,0.4622
1828,492.0,556.0,0.4345
1829,490.0,554.0,0.4626
1830,488.0,554.0,0.4537
1831,486.0,552.0,0.4873
1832,484.0,552.0,0.4578
1833,484.0,550.0,0.4705
1834,482.0,550.0,0.4484
1835,478.0,550.0,0.4398
1836,476.0,550.0,0.4309
1837,474.0,550.0,0.4271
1838,472.0,548.0,0.4737
1839,470.0,546.0,0.5141
1840,468.0,546.0,0.5081
1841,466.0,546.0,0.4373
1842,464.0,544.0,0.3725
1843,462.0,544.0,0.4366
1844,460.0,542.0,0.4696
1845,458.0,542.0,0.4806
1846,456.0,540.0,0.4748
1847,456.0,540.0,0.4737
1848,454.0,538.0,0.4764
1849,450.0,538.0,0.4078
1850,448.0,538.0,0.4198
1851,446.0,536.0,0.4444
1852,444.0,534.0,0.4497
1853,442.0,534.0,0.436
1854,440.0,534.0,0.4794
1855,438.0,534.0,0.4782
1856,436.0,532.0,0.4807
1857,434.0,532.0,0.4558
1858,432.0,532.0,0.4072
1859,430.0,530.0,0.3898
1860,428.0,530.0,0.4521
1861,426.0,528.0,0.4649
1862,424.0,526.0,0.498
1863,422.0,526.0,0.5124
1864,420.0,526.0,0.4657
1865,420.0,524.0,0.4131
1866,416.0,524.0,0.3471
1867,414.0,522.0,0.4421
1868,412.0,522.0,0.4726
1869,410.0,522.0,0.4745
1870,408.0,520.0,0.4584
1871,406.0,520.0,0.4801
1872,404.0,520.0,0.4851
